keywords,sentiment_coeff,TFIDF
note,1.1054639389219996,0.0
either,-1.1664357914224328,0.0
address,1.1614845761119712,0.0
call,1.1344162866550824,0.0
quarter,1.0941320645521042,0.0
eight,-1.0348222041433788,0.0
clock,1.130827316511315,0.0
desires,1.1856768874659152,0.0
matter,1.1023609551286828,0.0
moment,1.4674838587743246,0.0
recent,-1.2109879642513706,0.0
services,-1.1691829765899706,0.0
royal,-1.0903724874096206,0.0
houses,1.0541576437949614,0.0
europe,-1.166447729611535,0.0
matters,-1.0818186803481014,0.0
importance,-1.1459371233490512,0.0
exaggerated,-1.3214809755432286,0.0
quarters,1.1491377446456668,0.0
received,1.1177608503303536,0.0
hour,1.0788934590779506,0.0
visitor,1.324129379126174,0.0
wear,1.2152889474896509,0.0
means,-1.1818181025820171,0.0
capital,-1.139774797208878,0.0
mistake,1.3722161636505377,0.0
begins,-1.1300682651689646,0.0
facts,-1.0580294489630602,0.0
suit,1.262910947721485,0.0
theories,1.2103316121352123,0.0
instead,1.1284168019735312,0.0
carefully,1.1345713041815608,0.0
examined,1.1280711539193922,0.0
writing,1.1752714982049752,0.0
paper,1.0509982756714475,0.0
wrote,1.1312727192254255,0.0
processes,-1.4038685747603297,0.0
bought,-1.0801134786727646,0.0
crown,-1.1224148413716062,0.0
stiff,-1.1295723745985908,0.0
peculiar,-1.0744622018713108,0.0
hold,1.1442960150107406,0.0
light,1.128740193944231,0.0
large,-1.1277596696535446,0.0
e,-1.1477762145947044,0.0
g,-1.0918832694377594,0.0
p,-1.125228121700049,0.0
asked,1.3868167682390624,0.0
rather,1.1811492755459454,0.0
german,1.0982967162620794,0.0
company,1.050239278566122,0.0
contraction,-1.1392015985280552,0.0
like,1.3344146819645504,0.0
co,-1.2894324080823787,0.0
course,-1.2456561899128933,0.0
let,1.263028676297395,0.0
glance,1.3990814155499265,0.0
continental,-1.2259416032445185,0.0
took,1.247501521191539,0.0
heavy,1.084401105545728,0.0
brown,-1.0436483213934198,0.0
volume,-1.2782791844094616,0.0
speaking,1.2516152329082146,0.0
far,-1.094712592272692,0.0
remarkable,-1.101116851780355,0.0
scene,1.2266442447416257,0.0
death,1.0792950784375182,0.0
numerous,-1.3565747171469935,0.0
glass,1.196699031011323,0.0
factories,-1.1738174813453657,0.0
mills,-1.140831098485518,0.0
ha,1.0339509177925068,0.0
boy,1.2998135722463644,0.0
sent,1.2142059965473306,0.0
great,-1.0876330492013442,0.0
cloud,1.1561837341241534,0.0
made,-1.1036812573920345,0.0
precisely,-1.3656011914224395,0.0
construction,-1.370671292304834,0.0
sentence,1.2664808586798373,0.0
frenchman,1.3205068166664766,0.0
russian,1.133516646701513,0.0
remains,-1.2263204604487874,0.0
therefore,-1.2886263409239618,0.0
discover,-1.2891400749372282,0.0
wanted,1.5054485656840662,0.0
writes,1.5516008564969648,0.0
wearing,1.146704134410003,0.0
showing,-1.0280401493236868,0.0
face,1.2522408174896709,0.0
comes,1.131026071468769,0.0
mistaken,-1.0699598325869797,0.0
doubts,1.2030862340224469,0.0
sharp,1.0179263011648456,0.0
sound,1.2079870830590402,0.0
horses,1.3107304438787175,0.0
hoofs,1.3233982833933806,0.0
wheels,1.277052142935846,0.0
followed,-1.0880070589928073,0.0
pull,1.2119573719692236,0.0
pair,1.2562223897050901,0.0
yes,1.3023758750558565,0.0
continued,1.4841852400651283,0.0
glancing,1.4482405111727323,0.0
window,1.3181100214127472,0.0
nice,1.388780490854289,0.0
hundred,1.0273672760652484,0.0
fifty,-1.0238994070943928,0.0
money,1.0479933370467946,0.0
nothing,1.3038494462409551,0.0
else,1.2318530661593292,0.0
better,1.176164954621803,0.0
bit,1.2939419212709895,0.0
doctor,1.342626146235544,0.0
stay,1.2797794103988671,0.0
lost,1.1060862735166388,0.0
interesting,1.041658186177929,0.0
pity,1.2224918654361845,0.0
miss,1.1182661924528752,0.0
client,1.445438396778567,0.0
want,1.18140036737118,0.0
sit,1.3337345930593965,0.0
best,1.093791824452054,0.0
slow,-1.1690915863381002,0.0
step,1.1597013914602596,0.0
stairs,1.5326243519750131,0.0
passage,1.10085488340622,0.0
paused,1.5751317339518829,0.0
immediately,1.2383576047161762,0.0
outside,-1.0699481102509032,0.0
loud,1.223145429348223,0.0
come,1.3713482895645202,0.0
entered,1.2936064801060891,0.0
less,-1.1532073658610529,0.0
feet,1.1387567293237086,0.0
height,-1.118356852689643,0.0
limbs,-1.1292372870217355,0.0
dress,1.219498287122823,0.0
rich,1.0572745526281575,0.0
england,-1.0938219488517655,0.0
bad,1.2134911716586585,0.0
taste,1.5388689078113988,0.0
bands,1.1619429609552303,0.0
sleeves,1.1927984802663316,0.0
coat,1.1297533985071089,0.0
deep,1.0697845755227164,0.0
cloak,1.2471525153542624,0.0
thrown,1.088331563483239,0.0
shoulders,1.1729952532825159,0.0
lined,1.0315206410443087,0.0
coloured,-1.0900879419697227,0.0
silk,-1.0380190794550024,0.0
secured,-1.3235408958917958,0.0
neck,1.0284808587383998,0.0
consisted,-1.1114127878602942,0.0
single,-1.1699895682516803,0.0
boots,1.1603537512650064,0.0
extended,-1.1397098931940308,0.0
fur,1.1102719748710514,0.0
completed,-1.3646904168664935,0.0
impression,1.2159264606800642,0.0
suggested,1.1157522074013777,0.0
appearance,-1.0822226415082696,0.0
carried,-1.1522208650641494,0.0
broad,1.043496491198588,0.0
hand,1.14179026390389,0.0
wore,1.1558714704138473,0.0
upper,-1.0320866189302502,0.0
extending,-1.318052348072176,0.0
past,1.3325624356544936,0.0
apparently,1.165177905683655,0.0
raised,1.041721770639012,0.0
lower,-1.0524645386309308,0.0
appeared,1.268185529113135,0.0
hanging,1.110076182853512,0.0
straight,1.4866502834060034,0.0
chin,1.1330580133899035,0.0
resolution,-1.09699953702551,0.0
pushed,1.2294425432254528,0.0
length,-1.202055006194234,0.0
harsh,-1.211703722601988,0.0
voice,1.2936065814015865,0.0
strongly,-1.147456792993462,0.0
marked,-1.214306764339761,0.0
uncertain,1.3154168677513016,0.0
pray,1.145565483187421,0.0
seat,-1.0804422812685526,0.0
dr,1.027147626294529,0.0
occasionally,1.081233155229605,0.0
cases,-1.2489586155344399,0.0
count,1.4099197361610554,0.0
understand,1.2827814979034176,0.0
trust,-1.0578841314969272,0.0
extreme,-1.1858601940302766,0.0
prefer,-1.1735238621910669,0.0
alone,1.2399348449654022,0.0
rose,1.4436148642713835,0.0
caught,1.383783391964574,0.0
wrist,1.0417326137142902,0.0
back,1.3137671331025031,0.0
chair,1.2082086756338757,0.0
none,1.2671214173752532,0.0
say,1.4342724895774144,0.0
anything,1.2228936476409538,0.0
shrugged,1.2471803384913327,0.0
begin,1.1071447068319864,0.0
absolute,-1.1427724032564528,0.0
years,-1.0400605493978632,0.0
end,-1.0404603907560892,0.0
present,-1.2244378150565522,0.0
weight,-1.152720195547967,0.0
influence,-1.2573243777752334,0.0
european,-1.2264695580635805,0.0
history,-1.1226519199506828,0.0
promise,1.1533598792361102,0.0
excuse,1.2972901938110215,0.0
strange,1.3391221303192888,0.0
august,-1.0257428390708,0.0
person,-1.065999920556626,0.0
wishes,1.2183614647483083,0.0
agent,-1.231344822697852,0.0
unknown,-1.1366430625960504,0.0
confess,1.3348415845144748,0.0
called,1.1338687089659465,0.0
